pygame 2.1.2 (SDL 2.0.16, Python 3.10.1)
Hello from the pygame community. https://www.pygame.org/contribute.html
         22504898 function calls (22498220 primitive calls) in 20.993 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:1(<module>)
      815    0.002    0.000    0.022    0.000 <__array_function__ internals>:2(any)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
      685    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
    268/9    0.001    0.000    0.440    0.049 <frozen importlib._bootstrap>:1022(_find_and_load)
   203/36    0.000    0.000    0.173    0.005 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      685    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      268    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      685    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      417    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    374/9    0.000    0.000    0.428    0.048 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     2974    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      433    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      475    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      253    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  253/239    0.000    0.000    0.070    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    253/9    0.001    0.000    0.437    0.049 <frozen importlib._bootstrap>:664(_load_unlocked)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      794    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      794    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      265    0.001    0.000    0.070    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    268/9    0.001    0.000    0.439    0.049 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      185    0.001    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
    63/60    0.000    0.000    0.049    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
    63/53    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
     2743    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2743    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      370    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
      740    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      556    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
      263    0.001    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
     1133    0.000    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      263    0.000    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(<genexpr>)
      376    0.000    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1507(find_loader)
      248    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      550    0.003    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
       23    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
      347    0.000    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(path_hook_for_FileFinder)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      370    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      248    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:565(_find_module_shim)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      185    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      550    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      555    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    185/9    0.000    0.000    0.437    0.049 <frozen importlib._bootstrap_external>:877(exec_module)
      185    0.001    0.000    0.099    0.001 <frozen importlib._bootstrap_external>:950(get_code)
       23    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 __about__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       23    0.001    0.000    0.784    0.034 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:105(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1115(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1118(resource_exists)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(resource_stream)
        4    0.000    0.000    0.000    0.000 __init__.py:122(_declare_state)
        1    0.000    0.000    0.000    0.000 __init__.py:128(WorkerQueue)
      102    0.000    0.000    0.001    0.000 __init__.py:1304(safe_name)
      102    0.000    0.000    0.002    0.000 __init__.py:1312(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1370(NullProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1377(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(has_resource)
       50    0.000    0.000    0.001    0.000 __init__.py:1393(_get_metadata_path)
       49    0.000    0.000    0.001    0.000 __init__.py:1396(has_metadata)
        1    0.000    0.000    0.001    0.001 __init__.py:1403(get_metadata)
        1    0.000    0.000    0.001    0.001 __init__.py:1416(get_metadata_lines)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       52    0.000    0.000    0.001    0.000 __init__.py:1472(_fn)
       52    0.000    0.000    0.000    0.000 __init__.py:1478(_validate_resource_path)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
       20    0.000    0.000    0.000    0.000 __init__.py:1564(_parents)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(EggProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1578(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1582(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:1595(DefaultProvider)
       50    0.000    0.000    0.001    0.000 __init__.py:1598(_has)
        6    0.000    0.000    0.000    0.000 __init__.py:16(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:1607(get_resource_stream)
        1    0.000    0.000    0.001    0.001 __init__.py:1610(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1614(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:162(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1625(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1638(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1645(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:177(FuncResult)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:1868(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1909(PathMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
      102    0.000    0.000    0.000    0.000 __init__.py:1929(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1934(EggMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<dictcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:1952(register_finder)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
       14    0.000    0.000    0.000    0.000 __init__.py:1962(find_distributions)
        2    0.000    0.000    0.000    0.000 __init__.py:1999(find_nothing)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
       12    0.000    0.000    0.021    0.002 __init__.py:2006(_by_version_descending)
      102    0.000    0.000    0.008    0.000 __init__.py:2021(_by_version)
      102    0.000    0.000    0.007    0.000 __init__.py:2027(<listcomp>)
      114    0.000    0.000    0.049    0.000 __init__.py:2032(find_on_path)
      886    0.000    0.000    0.002    0.000 __init__.py:2044(<genexpr>)
      114    0.000    0.000    0.012    0.000 __init__.py:2052(<genexpr>)
      976    0.001    0.000    0.011    0.000 __init__.py:2067(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2087(NoDists)
      772    0.000    0.000    0.000    0.000 __init__.py:2095(__bool__)
       12    0.000    0.000    0.004    0.000 __init__.py:2102(safe_listdir)
      204    0.000    0.000    0.022    0.000 __init__.py:2118(distributions_from_metadata)
        4    0.000    0.000    0.000    0.000 __init__.py:2167(register_namespace_handler)
       40    0.000    0.000    0.002    0.000 __init__.py:2185(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:2254(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
       49    0.000    0.000    0.001    0.000 __init__.py:2288(fixup_namespace_packages)
        7    0.000    0.000    0.000    0.000 __init__.py:2327(normalize_path)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        7    0.000    0.000    0.000    0.000 __init__.py:2333(_cygwin_patch)
      355    0.000    0.000    0.000    0.000 __init__.py:2344(_normalize_cached)
       18    0.000    0.000    0.000    0.000 __init__.py:2352(_is_egg_path)
       18    0.000    0.000    0.000    0.000 __init__.py:2359(_is_zip_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:236(ResolutionError)
       30    0.000    0.000    0.000    0.000 __init__.py:2367(_is_unpacked_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        2    0.000    0.000    0.000    0.000 __init__.py:2385(yield_lines)
        3    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:2414(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:243(VersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2559(Distribution)
        1    0.000    0.000    0.000    0.000 __init__.py:256(<dictcomp>)
      102    0.000    0.000    0.003    0.000 __init__.py:2563(__init__)
      102    0.000    0.000    0.004    0.000 __init__.py:2576(from_location)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
      102    0.000    0.000    0.000    0.000 __init__.py:2593(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
      298    0.000    0.000    0.000    0.000 __init__.py:2635(key)
        1    0.000    0.000    0.000    0.000 __init__.py:275(ContextualVersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:276(__getattr__)
       50    0.000    0.000    0.002    0.000 __init__.py:2763(_get_metadata)
       49    0.000    0.000    0.004    0.000 __init__.py:2774(activate)
      152    0.000    0.000    0.000    0.000 __init__.py:2810(__getattr__)
       49    0.000    0.000    0.000    0.000 __init__.py:2865(insert_on)
        1    0.000    0.000    0.000    0.000 __init__.py:288(DistributionNotFound)
       49    0.000    0.000    0.000    0.000 __init__.py:2891(<listcomp>)
        3    0.000    0.000    0.016    0.005 __init__.py:29(load_module)
        1    0.000    0.000    0.000    0.000 __init__.py:2976(EggInfoDistribution)
        3    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:2995(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:3087(RequirementParseError)
        1    0.000    0.000    0.000    0.000 __init__.py:3091(Requirement)
       16    0.000    0.000    0.000    0.000 __init__.py:3143(_always_object)
        1    0.000    0.000    0.000    0.000 __init__.py:315(UnknownExtra)
       16    0.000    0.000    0.000    0.000 __init__.py:3153(_find_adapter)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        2    0.000    0.000    0.054    0.027 __init__.py:3225(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3230(_initialize)
       14    0.000    0.000    0.000    0.000 __init__.py:3235(<genexpr>)
        1    0.000    0.000    0.054    0.054 __init__.py:3242(_initialize_master_working_set)
       50    0.000    0.000    0.005    0.000 __init__.py:3268(<genexpr>)
       11    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:3282(PkgResourcesDeprecationWarning)
        4    0.000    0.000    0.000    0.000 __init__.py:329(register_loader_type)
        1    0.000    0.000    0.000    0.000 __init__.py:337(_sanity_check)
        2    0.000    0.000    0.000    0.000 __init__.py:339(get_provider)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:372(get_build_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
       57    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:408(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:42(MissingModule)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
